Business Name,Days_Since_Last,Frequency,Total_Spend,Avg_Purchase_Value,Frequency_Norm,Spend_Norm,Region_Encoded,Loyalty_Index,Recency_Score,Cluster,PCA1,PCA2
De Majok,109,37,19268680.0,520775.13513513515,0.029484029484029485,0.03351918134907857,0,19268680.0,1,2,-1.671470257220091,2.174656585538866
Deeski Store Limited,1,508,119773944.14,235775.4805905512,0.4152334152334152,0.20835502498777822,0,119773944.14,1,0,1.2210669477880696,-0.22660562934852993
Ecopeaks Limited,2,255,86124330.4,337742.4721568628,0.20802620802620803,0.14981919945973163,0,86124330.4,1,0,0.5005874025491284,-0.5004284286518315
Ekulo International Limited(Wine world),10,1,9491.5,9491.5,0.0,1.6493723643681086e-05,0,9491.5,1,3,-0.5370662380805287,-0.6948508921013854
Extreme Manufacturing Nigeria limited,35,10,84590.0,8459.0,0.007371007371007371,0.00014713274753810538,0,84590.0,1,3,-0.8441110772804128,0.018987704265629644
Farmer First,0,29,172569400.0,5950668.9655172415,0.022932022932022934,0.3001963642903151,0,172569400.0,1,3,0.3906652119016454,-0.5662774647893524
Femadon Stores Ltd,17,9,409909.0,45545.444444444445,0.006552006552006552,0.0007130476008881752,0,409909.0,1,3,-0.6092039588280104,-0.4892148551707287
Funky stores Nigeria LTD.,47,1,14505.0,14505.0,0.0,2.521505291516715e-05,1,14505.0,1,2,-1.0216477522803533,0.34945067696125187
Generic Stores,0,224,6023875.0,26892.29910714286,0.18263718263718265,0.010478928922305855,0,6023875.0,1,0,0.11678987934223493,-0.7637127289815262
MUL,0,271,2589995.7,9557.179704797049,0.22113022113022113,0.00450545888065031,0,2589995.7,1,0,0.20698691360481566,-0.7292493876908992
Marzab Multiventures,6,94,40739950.0,433403.72340425535,0.07616707616707616,0.07086993741709105,0,40739950.0,1,3,-0.10396143214064846,-0.6333243496942694
Mercy & Honey Ventures,0,247,104844736.0,424472.6153846154,0.20147420147420148,0.18238463704492594,0,104844736.0,1,0,0.5886057177654702,-0.5222048200132524
Multiventures,3,59,1320599.75,22383.04661016949,0.047502047502047506,0.0022972570145206868,0,1320599.75,1,3,-0.31046565815872856,-0.837487607200117
Nekaa,92,5,10.0,2.0,0.003276003276003276,0.0,0,10.0,1,2,-1.6021713041770336,1.6230874345410775
OneKioskAfrica,17,5,74172000.0,14834400.0,0.003276003276003276,0.1290272958036046,0,74172000.0,1,3,-0.3042339711804673,-0.32792632877269934
Product Plug,63,12,148730.0,12394.166666666666,0.00900900900900901,0.00025870870434933826,0,148730.0,1,2,-1.206104626801284,0.8111980013442209
RSL International Limited,5,3,63700000.0,21233333.333333332,0.0016380016380016383,0.11081052904764528,0,63700000.0,1,3,-0.19608840714899178,-0.6918155045258536
Renuzi Ventures,0,1222,497166171.0,406846.2937806874,1.0000000000000002,0.8648548504481207,0,497166171.0,1,1,4.432348654192703,1.2288781487146947
Stella olasebikan Trading Stores,2,77,2794550.392204,36292.86223641559,0.06224406224406225,0.004861295885684431,0,2794550.392204,1,3,-0.2509560968524897,-0.8462787850926531
TDILIFE  ,0,97,16399936.879999999,169071.5142268041,0.07862407862407862,0.02852880469707293,0,16399936.879999999,1,3,-0.12226460839361793,-0.8543844062535834
TSQALAYO and sons,59,2,33500.0,16750.0,0.000819000819000819,5.8258166411103685e-05,1,33500.0,1,2,-1.176505418299236,0.6890784722272065
Toyo mart,63,1,1350.0,1350.0,0.0,2.331022484051327e-06,0,1350.0,1,2,-1.2312617212450105,0.8010062943237901
Tripple P Dazzled,0,759,574855040.0,757384.7694334651,0.6208026208026209,1.0,0,574855040.0,1,1,3.730461800942838,0.9874178703699454
